stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id
16552,33rd St & Norris St,39.987149,-75.187418,,,1
16553,33rd St & Berks St ,39.985623,-75.187789,,,1
16554,33rd St & Montgomery Av ,39.984196,-75.188101,,,1
16555,33rd St & Cecil B Moore Av,39.982741,-75.18839,,,1
16557,Poplar St & 28th St,39.972948,-75.18241,,,1
16558,Poplar St & 27th St ,39.97274,-75.18084,,,1
16559,Poplar St & 26th St,39.972531,-75.179187,,,1
16560,26th St & Parrish St,39.971398,-75.179403,,,1
16561,26th St & Brown St,39.97031,-75.179632,,,1
16562,26th St & Aspen St ,39.969105,-75.17986,,,1
16563,26th St & Pennsylvania Av ,39.968017,-75.180089,,,1
16564,Pennsylvania Av & 25th St ,39.966685,-75.179136,,,1
16565,Pennsylvania Av & 24th St,39.965424,-75.177747,,,1
16566,Pennsylvania Av & 23rd St - FS,39.963948,-75.176075,,,1
16569,21st St & Ben Franklin Pkwy,39.960632,-75.17363,,,1
16575,12th St & Mifflin St ,39.926433,-75.165595,,,1
16576,12th St & McKean St ,39.925229,-75.165836,,,1
16577,12th St & Snyder Av ,39.923926,-75.166112,,,1
16585,12th St & Jackson St ,39.922686,-75.166364,,,1
16586,12th St & Wolf St ,39.921438,-75.166676,,,1
16587,12th St & Ritner St ,39.920218,-75.166867,,,1
16588,12th St & Porter St ,39.91901,-75.167142,,,1
16589,12th St & Shunk St ,39.917829,-75.167291,,,1
16590,12th St & Oregon Av,39.916541,-75.167579,,,1
16591,Oregon Av & 10th St ,39.915873,-75.164631,,,1
16592,10th St & Johnston St ,39.914714,-75.164895,,,1
16594,11th St & Snyder Av,39.923557,-75.164496,,,1
16595,Old York Rd & Nedro Av,40.042947,-75.144391,,,1
16597,Old York Rd & Church Ln,40.046189,-75.1453,,,1
16598,Old York Rd & Godfrey Av,40.04776,-75.145471,,,1
16599,Old York Rd & Stenton Av,40.048581,-75.145019,,,1
16600,11th St & Mifflin St ,39.926073,-75.163967,,,1
16601,11th St & Moore St ,39.927286,-75.163644,,,1
16602,Old York Rd & Medary Av - FS,40.049971,-75.144067,,,1
16603,11th St & Morris St ,39.928517,-75.163415,,,1
16604,Old York Rd & Chelten Av,40.050719,-75.143568,,,1
16606,Passyunk Av & Dickinson St ,39.930826,-75.162144,,,1
16607,Old York Rd & 65th St,40.052172,-75.142639,,,1
16608,Passyunk Av & 10th St ,39.931894,-75.161018,,,1
16609,11th St & Wharton St ,39.93337,-75.162264,,,1
16611,Old York Rd & Broad St - FS,40.054995,-75.140854,,,1
16612,Old York Rd & 68th Av,40.056602,-75.14002,,,1
16613,Old York Rd & 69th Av,40.058037,-75.139151,,,1
16614,Old York Rd & Lakeside Av,40.058806,-75.138663,,,1
16615,Old York Rd & 70th Av,40.059394,-75.138304,,,1
16616,Old York Rd & 71st Av,40.06082,-75.137376,,,1
16618,Old York Rd & Valley Rd,40.063001,-75.136008,,,1
16619,Old York Rd  & Melrose Av,40.066803,-75.134632,,,1
16620,Old York Rd & Academy Ln,40.068671,-75.134422,,,1
16621,Old York Rd & Ashbourne Rd,40.070851,-75.133762,,,1
16622,Old York Rd & Spring Av,40.072856,-75.131744,,,1
16623,Old York Rd & Chelten Hills Dr,40.074394,-75.129703,,,1
16624,Old York Rd & Stahr Rd,40.075855,-75.128254,,,1
16625,Old York Rd & Church Rd,40.076799,-75.127421,,,1
16626,Old York Rd & Forrest Av,40.078056,-75.12647,,,1
16628,Old York Rd & Greenbriar Rd,40.080528,-75.126531,,,1
16629,Old York Rd & Meetinghouse Rd - FS,40.08329,-75.127464,,,1
16630,Old York Rd & Breyer Dr,40.085424,-75.127894,,,1
16632,Old York Rd & Lenox Rd,40.088295,-75.127231,,,1
16635,Old York Rd & Greenwood Av,40.095084,-75.125665,,,1
16636,Old York Rd & West Av - FS,40.096032,-75.125743,,,1
16637,Old York Rd & Homestead Rd - FS,40.097041,-75.125739,,,1
16638,Old York Rd & Vista Rd - FS,40.098649,-75.125779,,,1
16639,Old York Rd & Rydal Rd,40.09977,-75.125822,,,1
16640,Old York Rd & Madeira Av,40.101552,-75.125673,,,1
16641,Old York Rd & Rodman Av,40.103339,-75.125452,,,1
16642,Old York Rd & Baeder Rd,40.104685,-75.124937,,,1
16645,Old York Rd & Brook Rd,40.112089,-75.123071,,,1
16646,Old York Rd & Susquehanna Rd,40.114318,-75.121807,,,1
